"guid","name","known for","date of birth","date of death","picture","related person 1","related person 2","related person 3","related person 4","related person 5","personal related person 1","personal related person 2","personal related person 3","related event 1","related event 2","related event 3","related event 4","related event 5","personal related event 1","personal related event 2","personal related event 3","notes","personal notes","source & license","tags"
"bZ[QUP;*!N","Andrew Johnson","17th U.S. president; succeeded Lincoln after assassination; impeached but acquitted; opposed Reconstruction.","1808","1875","<img alt=""Monochrome photograph of the upper body of Andrew Johnson"" src=""uh_andrew-johnson.jpg"">","Abraham Lincoln (1809–1865): president Johnson served as vice president; succeeded after Lincoln's assassination","Ulysses S. Grant (1822–1885): general who broke with Johnson over Reconstruction policy and succeeded him as president","William H. Seward (1801–1872): Secretary of State who continued serving under Johnson and supported him during impeachment","","","","","","American Civil War (1861–1865): conflict during which Johnson served as military governor of Tennessee and then vice president","Thirteenth Amendment to the US Constitution (1865): abolition of slavery ratified during Johnson's presidency but which he had opposed","","","","","","","Only Southern senator to remain loyal to Union in 1861. Became Lincoln's vice president in 1865 and president after assassination. Clashed with Radical Republicans over Reconstruction, vetoing civil rights legislation. Impeached by House in 1868 for violating Tenure of Office Act; acquitted by Senate by one vote. His lenient approach to former Confederates undermined protection of freed slaves.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Andrew_Johnson#/media/File:Andrew_Johnson_photo_portrait_head_and_shoulders,_c1870-1880-Edit1.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Americas::North"
"IJFZb<fa{%","Angela Burdett-Coutts","Victorian philanthropist; one of the wealthiest women in England; pioneered social housing and co-founded what became the NSPCC.","1814","1906","<img src=""uh_angela-burdett-coutts.jpg"">","Charles Dickens (1812–1870): close collaborator with whom she co-founded Urania Cottage, a rehabilitation home for women","Queen Victoria (1819–1901): monarch who awarded Burdett-Coutts a baroness title in 1871, recognizing her extraordinary philanthropic contributions","","","","","","","Victorian Era (1837–1901): period during which Burdett-Coutts became one of England's greatest philanthropists","","","","","","","","Became one of the wealthiest women in England after inheriting £1.8 million in 1837. First woman to receive a peerage for her accomplishments. Edward VII called her ""after my mother, the most remarkable woman in the kingdom.""","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Angela_Burdett-Coutts,_1st_Baroness_Burdett-Coutts#/media/File:Angela_Georgina_Burdett-Coutts,_Baroness_Burdett-Coutts_from_NPG.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"C~Mg0J@Nu{","Antoninus Pius","Roman emperor (138-161); adoptive father of Marcus Aurelius; one of the Five Good Emperors","86","161","<img src=""uh_antoninus-pius.jpg"">","Marcus Aurelius (121–180): adopted as heir at Hadrian's insistence, grooming him to become emperor","","","","","","","","Pax Romana (27 BCE–180): his peaceful 23-year reign epitomized the stability of the era; he never left Italy as emperor","","","","","","","","His reign was remarkably peaceful—he never left Italy as emperor and spent no time on military campaigns. He was nicknamed 'Pius' for his devotion to his adoptive father Hadrian. He insisted on adopting both Marcus Aurelius and Lucius Verus as a condition of his own adoption by Hadrian.","","Image: <a href=""https://en.wikipedia.org/wiki/File:Antoninus_Pius_Glyptothek_Munich_337_cropped.jpg"">Wikipedia</a> (Public domain)","UH::Period::2nd_Century, UH::Region::Europe::Southern, UH::Theme::Politics"
"fk~bR~KC!n","Antonio José de Sucre","South American revolutionary general; Bolívar's most trusted commander; first president of Bolivia.","1795","1830","<img src=""uh_antonio-josé-de-sucre.png"">","José de San Martín (1778–1850): fellow liberator whose efforts Sucre built upon in the liberation of Peru","Simón Bolívar (1783–1830): revolutionary leader who Sucre served as chief general and closest confidant","","","","","","","Peruvian War of Independence (1820–1824): campaign in which Sucre played a decisive military role under Bolívar's command","","","","","","","","Won the decisive Battle of Ayacucho (1824), which effectively ended Spanish rule in South America. Served as first president of Bolivia (1826–1828). Known for military brilliance and administrative skill. Assassinated in 1830 at age 35, a loss Bolívar called the greatest blow to the independence cause. Spanish: [anˈtonjo xoˈse ðe ˈsukɾe]","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Antonio_José_de_Sucre#/media/File:Antonio_José_de_Sucre._Michelena,_Arturo._1895,_Legislative_Palace,_La_Paz.png"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Americas::South"
"eGO^aCP)(y","Archduke Franz Ferdinand of Austria","Heir presumptive to Austro-Hungarian throne; his assassination triggered World War I.","1863","1914","<img src=""uh_archduke-franz-ferdinand-of-austria.jpg"">","Empress Elisabeth of Austria (1837–1898): aunt by marriage whose tragic death preceded Franz Ferdinand's own assassination","Franz Joseph I of Austria (1830–1916): uncle whose heir Franz Ferdinand became after the suicide of Crown Prince Rudolf","Nicholas II of Russia (1868–1918): fellow royal whose empire would also collapse in the war Franz Ferdinand's death triggered","","","","","","Assassination of Archduke Franz Ferdinand (1914): his murder in Sarajevo by Gavrilo Princip became the immediate trigger for World War I","Austro-Hungarian Compromise (1867): constitutional arrangement Franz Ferdinand planned to reform if he became emperor","","","","","","","Became heir presumptive in 1896. Married morganatically to Sophie Chotek, which caused controversy as their children were excluded from succession. Advocated for federalist reforms to give Slavs greater autonomy within the empire. Assassinated with his wife in Sarajevo on June 28, 1914, by Serbian nationalist Gavrilo Princip, precipitating World War I. German: [fʁants ˈfɛʁdinant]","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Archduke_Franz_Ferdinand_of_Austria#/media/File:Ferdinand_Schmutzer_-_Franz_Ferdinand_von_Österreich-Este,_um_1914_(cropped).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"yoKc^IhJVn","Arthur Wellesley, 1st Duke of Wellington","British field marshal and statesman; defeated Napoleon at Waterloo","1769","1852","<img src=""uh_arthur-wellesley-1st-duke-of-wellington.jpg"">","Horatio Nelson, 1st Viscount Nelson (1758–1805): fellow British military hero whose naval victories complemented Wellington’s land campaigns","Napoleon Bonaparte (1769–1821): principal adversary whom Wellington ultimately defeated at Waterloo","Robert Stewart, Viscount Castlereagh (1769–1822): British foreign secretary who coordinated diplomacy alongside Wellington’s military efforts against Napoleon","","","","","","Battle of Waterloo (1815): decisive engagement in which Wellington, alongside Blücher, ended Napoleon’s rule","Congress of Vienna (1814–1815): diplomatic settlement in which Wellington played a key role in shaping post-Napoleonic Europe","Peninsular War (1808–1814): major theater where Wellington’s campaigns weakened Napoleon’s control over Europe","","","","","","Prominent military strategist and later a stabilizing political figure in post-Napoleonic Europe.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington#/media/File:Sir_Arthur_Wellesley,_1st_Duke_of_Wellington.jpg"">Wikipedia</a> (Public domain)","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
"mbjHmOll(T","Bahadur Shah Zafar","Last Mughal emperor; nominal leader during Indian Rebellion of 1857; exiled to Burma after defeat.","1775","1862","<img src=""uh_bahadur-shah-zafar.jpg"">","Queen Victoria (1819–1901): British monarch who assumed direct rule over India after Bahadur Shah's defeat and exile","Rani of Jhansi (1828–1858): fellow rebel leader who fought against British rule during the 1857 uprising","","","","","","","Indian Rebellion (1857–1858): major uprising against British East India Company rule in which Bahadur Shah was proclaimed leader by the rebels","Victorian Era (1837–1901): period during which the Mughal Empire finally ended and British rule was consolidated","","","","","","","Also known as Bahadur Shah II. Became emperor in 1837 at age 62 with little real power. Reluctantly accepted leadership of the 1857 rebellion when mutineers arrived in Delhi. After British recaptured Delhi, he was tried for treason and exiled to Rangoon, Burma, where he died in 1862. His defeat marked the formal end of the Mughal Empire and the beginning of direct British Crown rule. Urdu: [bəˈhɑːdʊr ʃɑː zəˈfər]","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Bahadur_Shah_Zafar#/media/File:Bahadur_Shah_II.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Asia"
"LP7xj#u9m5","Benjamin Disraeli","British Prime Minister; expanded the British Empire and strengthened the monarchy","1804","1881","<img alt=""Disraeli in old age, wearing a double-breasted suit, bow tie and hat"" src=""uh_benjamin-disraeli.jpg"">","Queen Victoria (1819–1901): monarch with whom Disraeli cultivated a close personal and political relationship","Robert Gascoyne-Cecil, 3rd Marquess of Salisbury (1830–1903): Conservative colleague who succeeded Disraeli as party leader","William Ewart Gladstone (1809–1898): longtime Liberal rival whose policies and politics Disraeli opposed throughout his career","","","","","","Congress of Berlin (1878): diplomatic summit where Disraeli secured favorable terms for Britain and Ottoman integrity","","","","","","","","Novelist turned statesman; made Victoria Empress of India and coined the term ""peace with honour.""","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/File:Benjamin_Disraeli,_Earl_of_Beaconsfield_(3x4_cropped).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"G2P[<%%ipy","Bruttia Crispina","Roman empress; wife of Commodus; exiled and executed on accusations of adultery","164","191","<img src=""uh_bruttia-crispina.jpg"">","","","","","","","","","","","","","","","","","She married Commodus around 178 when both were teenagers. The marriage produced no children. Around 188, Commodus accused her of adultery and exiled her to Capri—the same island where Lucilla had been sent. She was executed shortly after, likely on Commodus'\''s orders.","","Image: <a href=""https://en.wikipedia.org/wiki/File:L%27Image_et_le_Pouvoir_-_T%C3%AAte_de_Crispine_01.jpg"">Wikipedia</a> (CC BY-SA 3.0)","UH::Period::2nd_Century, UH::Region::Europe::Southern, UH::Theme::Politics"
"kj3*!27P[L","Camillo Benso, Count of Cavour","Piedmontese statesman; mastermind of Italian unification","1810","1861","<img src=""uh_camillo-benso-count-of-cavour.jpg"">","Giuseppe Garibaldi (1807–1882): nationalist military leader whose conquests Cavour diplomatically incorporated into the Italian state","Napoleon III (1808–1873): French emperor whose alliance Cavour secured to defeat Austria","Victor Emmanuel II (1820–1878): monarch Cavour served as prime minister and whose kingdom he expanded into unified Italy","","","","","","Congress of Berlin (1878): diplomatic gathering where Cavour raised the Italian question on the international stage","Second Italian War of Independence (1859): conflict Cavour engineered through French alliance to drive Austria from northern Italy","Unification of Italy (Risorgimento) (1848–1871): nationalist movement Cavour guided through diplomatic strategy and political maneuvering","","","","","","Pragmatic liberal who combined diplomacy and opportunism to achieve unification; died shortly after seeing Italy united. Italian: [kaˈmillo ˈbɛnso kaˈvur]","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Camillo_Benso,_Count_of_Cavour#/media/File:Camillo_Benso_Cavour_di_Ciseri.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"GJ+DB98u#+","Charles Darwin","Theory of evolution by natural selection; author of <em>On the Origin of Species</em> (1859).","1809","1882","<img alt=""Three-quarter length studio photo showing Darwin's characteristic large forehead and bushy eyebrows with deep-set eyes, pug nose, and mouth set in a determined look. He is bald on top, with dark hair and long side whiskers, but no beard or moustache. His jacket is dark, with very wide lapels, and his trousers are a light check pattern. His shirt features an upright wing collar, and his cravat is tucked into his waistcoat, which has a light, fine checked pattern."" src=""uh_charles-darwin.jpg"">","Alfred Russel Wallace (1823–1913): naturalist whose independent formulation of natural selection spurred Darwin to publish","Charles Lyell (1797–1875): geologist whose principles of uniformitarianism influenced Darwin’s thinking on gradual change","Thomas Henry Huxley (1825–1895): staunch defender of Darwin’s theory who popularized and advocated for evolutionary science","","","","","","Publication of <i>On the Origin of Species</i> (1859): landmark scientific event that introduced natural selection to the world","Voyage of the HMS <i>Beagle</i> (1831–1836): expedition during which Darwin gathered observations foundational to his evolutionary theory","","","","","","","Darwin initially studied medicine and then theology; he nearly abandoned science until the <em>Beagle</em> voyage changed his life. He delayed publishing his theory for decades due to concern over controversy.","","Image: <a href=""https://en.wikipedia.org/wiki/Charles_Darwin#/media/File:Charles_Darwin_seated_crop.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"tg8,S2DJQ+","Charles Dickens","Leading English novelist of the Victorian era","1812","1870","<img alt=""Charles Dickens"" src=""uh_charles-dickens.jpg"">","Angela Burdett-Coutts (1814–1906): philanthropist who partnered with Dickens on social reform projects","Queen Victoria (1819–1901): monarch with whom Dickens interacted publicly, reflecting his prominence in Victorian culture","","","","","","","Great Exhibition (1851): hallmark Victorian event Dickens reported on and commented upon in his journalism","Industrial Revolution (c. 1760–c. 1840): transformative context that shaped the urban hardships central to Dickens’s novels","Victorian Era (1837–1901): historical period whose social issues Dickens famously depicted and critiqued","","","","","","Critiqued social inequality using vivid storytelling and memorable characters.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Charles_Dickens#/media/File:Dickens_Gurney_head.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"q1N#T4S!QV","Charles Lyell","Geologist; pioneered uniformitarianism; profoundly influenced Darwin's evolutionary theory","1797","1875","<img src=""uh_charles-lyell.jpg"">","Alfred Russel Wallace (1823–1913): naturalist whose parallel discovery Lyell helped bring to Darwin's attention","Charles Darwin (1809–1882): naturalist whose evolutionary thinking was shaped by Lyell's geological principles","","","","","","","Publication of <i>On the Origin of Species</i> (1859): scientific milestone Lyell supported despite his initial doubts about evolution","Voyage of the HMS <i>Beagle</i> (1831–1836): expedition during which Darwin read and absorbed Lyell's <i>Principles of Geology</i>","","","","","","","Author of <i>Principles of Geology</i>; argued that Earth was shaped by slow processes over vast time. This gradualist framework became essential to Darwin's theory of natural selection.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Charles_Lyell#/media/File:Lyell_1840.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"CbaNB?Q/`!","Christian IX","King of Denmark; known as 'father-in-law of Europe' due to children's strategic marriages into European royal families.","1818","1906","<img src=""uh_christian-ix.jpg"">","Nicholas II of Russia (1868–1918): grandson through daughter Dagmar (Maria Feodorovna) who married Alexander III","Queen Victoria (1819–1901): fellow monarch whose son Edward VII married Christian's daughter Alexandra","Wilhelm I (1797–1888): rival monarch during the crisis over Schleswig-Holstein","","","","","","Second Schleswig War (1864): conflict in which Denmark lost Schleswig and Holstein to Prussia and Austria, a major crisis early in Christian's reign","Victorian Era (1837–1901): period during which Christian's children married into the major European royal houses","","","","","","","Became king in 1863 at age 44. His children married into British, Russian, Greek, and other royal families, making him ancestor to many 20th-century European monarchs. The Schleswig-Holstein question dominated his early reign, resulting in territorial losses to Prussia. Despite this setback, skillfully maintained Denmark's position through dynastic connections.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Christian_IX#/media/File:Christian_IX_of_Denmark_color_altered.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"SOD!0W@@@*","Commodus","Roman emperor (180-192); son of Marcus Aurelius; his misrule marked the end of the Pax Romana","161","192","<img src=""uh_commodus.jpg"">","Bruttia Crispina (164–191): married c. 178; later accused her of adultery, exiled her to Capri, and had her executed","Lucilla (148–182): half-brother; had her executed after she led a failed assassination conspiracy against him in 182","","","","","","","Pax Romana (27 BCE–180): his erratic and tyrannical rule (180-192) is considered to have ended this era of Roman peace and prosperity","","","","","","","","Commodus was obsessed with gladiatorial combat, fighting in the arena himself (scandalizing Roman society). He renamed Rome 'Colonia Commodiana' and the months of the year after his own titles. His erratic rule ended when he was strangled by his wrestling partner Narcissus in a conspiracy involving his concubine Marcia.","","Image: <a href=""https://en.wikipedia.org/wiki/File:Commodo_vestito_da_Ercole_ai_Musei_Capitolini.jpg"">Wikipedia</a> (CC BY-SA 4.0)","UH::Period::2nd_Century, UH::Region::Europe::Southern, UH::Theme::Politics"
